09:44:33.084 -> Система готова. Формат вывода: mq7,mq135,temp,hum,ky028_analog,ky028_digital
09:49:18.738 -> 148,119,25.0,56.0,182,1
09:49:23.773 -> 148,118,26.0,56.0,157,1
09:49:28.766 -> 148,117,26.0,56.0,161,1
09:49:33.739 -> 148,116,26.0,56.0,165,1
09:49:38.743 -> 148,117,26.0,56.0,154,1
09:49:43.774 -> 149,117,26.0,56.0,181,1
09:49:48.759 -> 149,116,26.0,56.0,156,1
09:49:53.751 -> 147,115,26.0,56.0,157,1
09:49:58.781 -> 147,115,26.0,56.0,170,1
09:50:03.786 -> 148,115,26.0,56.0,144,1
09:50:08.778 -> 146,115,26.0,56.0,165,1
09:50:13.782 -> 145,114,26.0,56.0,165,1
09:50:18.798 -> 145,114,26.0,56.0,147,1
09:50:23.780 -> 145,113,26.0,56.0,179,1
09:50:28.798 -> 150,113,26.0,56.0,152,1
09:50:33.782 -> 151,113,26.0,56.0,166,1
09:50:38.814 -> 149,112,26.0,56.0,159,1
09:50:43.804 -> 147,113,26.0,56.0,154,1
09:50:48.782 -> 146,113,26.0,56.0,169,1
09:50:53.798 -> 152,113,26.0,56.0,150,1
09:50:58.816 -> 160,118,26.0,56.0,167,1
09:51:03.811 -> 158,117,26.0,56.0,159,1
09:51:08.826 -> 149,112,26.0,56.0,157,1
09:51:13.809 -> 152,111,26.0,56.0,162,1
09:51:18.833 -> 152,110,26.0,56.0,155,1
09:51:23.809 -> 149,110,26.0,56.0,155,1
09:51:28.809 -> 150,112,26.0,55.0,166,1
09:51:33.833 -> 152,111,26.0,56.0,155,1
09:51:38.825 -> 147,110,26.0,56.0,142,1
09:51:43.849 -> 144,110,26.0,56.0,153,1
09:51:48.833 -> 144,109,26.0,56.0,172,1
09:51:53.829 -> 144,109,26.0,56.0,157,1
09:51:58.817 -> 144,109,26.0,55.0,149,1
09:52:03.853 -> 142,110,26.0,55.0,151,1
09:52:08.859 -> 143,109,26.0,55.0,156,1
09:52:13.829 -> 142,109,26.0,55.0,163,1
09:52:18.857 -> 144,109,26.0,55.0,161,1
09:52:23.857 -> 145,109,26.0,55.0,148,1
09:52:28.876 -> 146,109,26.0,55.0,150,1
09:52:33.872 -> 145,109,26.0,55.0,159,1
09:52:38.861 -> 144,108,26.0,55.0,162,1
09:52:43.860 -> 145,108,26.0,55.0,150,1
09:52:48.873 -> 143,108,26.0,55.0,149,1
09:52:53.866 -> 146,108,26.0,55.0,162,1
09:52:58.884 -> 146,111,26.0,55.0,159,1
09:53:03.868 -> 145,110,26.0,56.0,139,1
09:53:08.888 -> 145,109,26.0,56.0,153,1
09:53:13.889 -> 145,109,26.0,56.0,161,1
09:53:18.890 -> 144,108,26.0,56.0,162,1
09:53:23.896 -> 143,108,26.0,56.0,156,1
09:53:28.890 -> 145,107,26.0,56.0,152,1
09:53:33.886 -> 142,106,26.0,56.0,148,1
09:53:38.900 -> 144,109,26.0,55.0,148,1
09:53:43.920 -> 146,108,26.0,55.0,149,1
09:53:48.893 -> 149,109,26.0,55.0,151,1
09:53:53.920 -> 150,110,26.0,55.0,152,1
09:53:58.914 -> 149,110,26.0,55.0,155,1
09:54:03.900 -> 148,110,26.0,55.0,160,1
09:54:08.921 -> 149,111,26.0,55.0,163,1
09:54:13.928 -> 148,111,26.0,55.0,172,1
09:54:18.919 -> 147,111,26.0,55.0,171,1
09:54:23.911 -> 147,111,26.0,55.0,170,1
09:54:28.947 -> 146,111,26.0,55.0,160,1
09:54:33.951 -> 148,111,26.0,55.0,149,1
09:54:38.947 -> 148,112,26.0,55.0,148,1
09:54:43.937 -> 151,114,26.0,55.0,150,1
09:54:48.956 -> 152,114,26.0,55.0,152,1
09:54:53.967 -> 149,112,26.0,55.0,157,1
09:54:58.955 -> 148,110,26.0,55.0,159,1
09:55:03.979 -> 147,111,26.0,55.0,164,1
09:55:08.971 -> 149,111,26.0,55.0,167,1
09:55:13.946 -> 152,114,26.0,55.0,172,1
09:55:18.971 -> 151,113,26.0,55.0,166,1
09:55:23.963 -> 151,112,26.0,55.0,155,1
09:55:28.970 -> 152,113,26.0,55.0,151,1
09:55:33.995 -> 152,113,26.0,55.0,150,1
09:55:38.990 -> 150,113,26.0,55.0,148,1
09:55:43.978 -> 150,112,26.0,55.0,149,1
09:55:49.003 -> 149,112,26.0,55.0,150,1
09:55:53.994 -> 150,113,26.0,55.0,154,1
09:55:59.010 -> 150,112,26.0,55.0,161,1
09:56:03.995 -> 150,112,26.0,55.0,166,1
09:56:09.022 -> 152,112,26.0,55.0,166,1
09:56:14.006 -> 152,113,26.0,55.0,165,1
09:56:18.999 -> 152,113,26.0,55.0,160,1
09:56:24.002 -> 151,112,26.0,55.0,153,1
09:56:29.026 -> 150,112,26.0,55.0,149,1
09:56:34.011 -> 150,113,26.0,55.0,149,1
09:56:39.049 -> 149,113,26.0,55.0,156,1
09:56:44.033 -> 149,112,26.0,55.0,166,1
09:56:49.021 -> 150,113,26.0,55.0,165,1
09:56:54.056 -> 150,113,26.0,55.0,155,1
09:56:59.047 -> 150,113,26.0,55.0,149,1
09:57:04.041 -> 150,112,26.0,55.0,149,1
09:57:09.073 -> 151,113,26.0,55.0,160,1
09:57:14.061 -> 153,115,26.0,55.0,168,1
09:57:19.054 -> 152,113,26.0,55.0,158,1
09:57:24.048 -> 150,112,26.0,55.0,148,1
09:57:29.069 -> 150,113,26.0,55.0,150,1
09:57:34.093 -> 150,112,26.0,55.0,158,1
09:57:39.086 -> 150,112,26.0,55.0,167,1
09:57:44.090 -> 150,112,26.0,55.0,171,1
09:57:49.085 -> 150,112,26.0,55.0,160,1
09:57:54.109 -> 149,112,26.0,55.0,158,1
09:57:59.107 -> 149,112,26.0,55.0,152,1
09:58:04.092 -> 150,112,26.0,55.0,142,1
09:58:09.089 -> 150,112,26.0,55.0,142,1
09:58:14.109 -> 151,113,26.0,55.0,148,1
09:58:19.124 -> 150,112,26.0,55.0,162,1
09:58:24.110 -> 149,112,26.0,55.0,170,1
09:58:29.102 -> 149,112,26.0,55.0,173,1
09:58:34.110 -> 148,112,26.0,55.0,168,1
09:58:39.132 -> 148,112,26.0,55.0,152,1
09:58:44.128 -> 149,112,26.0,55.0,140,1
09:58:49.148 -> 149,112,26.0,55.0,144,1
09:58:54.132 -> 149,112,26.0,55.0,165,1
09:58:59.132 -> 149,112,26.0,55.0,173,1
09:59:04.148 -> 149,112,26.0,55.0,157,1
09:59:09.140 -> 149,112,26.0,55.0,143,1
09:59:14.164 -> 149,113,26.0,55.0,147,1
09:59:19.164 -> 149,112,26.0,55.0,153,1
09:59:24.152 -> 149,112,26.0,55.0,164,1
09:59:29.180 -> 149,112,26.0,55.0,163,1
09:59:34.163 -> 149,113,26.0,55.0,151,1
09:59:39.166 -> 150,112,26.0,55.0,148,1
09:59:44.166 -> 150,113,26.0,55.0,151,1
09:59:49.183 -> 150,113,26.0,55.0,162,1
09:59:54.188 -> 150,112,26.0,55.0,167,1
09:59:59.188 -> 150,113,26.0,55.0,157,1
10:00:04.184 -> 149,112,26.0,55.0,148,1
10:00:09.208 -> 149,112,26.0,55.0,147,1
10:00:14.196 -> 149,113,26.0,55.0,159,1
10:00:19.208 -> 148,113,26.0,55.0,167,1
10:00:24.195 -> 149,113,26.0,55.0,151,1
10:00:29.224 -> 149,113,26.0,55.0,141,1
10:00:34.196 -> 150,114,26.0,55.0,157,1
10:00:39.203 -> 149,113,26.0,55.0,175,1
10:00:44.210 -> 148,113,26.0,55.0,148,1
10:00:49.243 -> 147,112,26.0,55.0,140,1
10:00:54.221 -> 147,112,26.0,55.0,157,1
10:00:59.228 -> 148,113,26.0,55.0,167,1
10:01:04.231 -> 147,113,26.0,55.0,148,1
10:01:09.243 -> 147,113,26.0,55.0,140,1
10:01:14.248 -> 147,112,26.0,55.0,162,1
10:01:19.239 -> 147,112,26.0,55.0,173,1
10:01:24.243 -> 148,112,26.0,55.0,150,1
10:01:29.247 -> 148,112,26.0,55.0,139,1
10:01:34.262 -> 147,112,26.0,55.0,161,1
10:01:39.267 -> 147,113,26.0,55.0,168,1
10:01:44.275 -> 148,113,26.0,55.0,140,1
10:01:49.279 -> 147,113,27.0,55.0,153,1
10:01:54.251 -> 148,113,26.0,55.0,171,1
10:01:59.284 -> 147,113,27.0,55.0,161,1
10:02:04.263 -> 148,113,27.0,55.0,139,1
10:02:09.270 -> 148,113,27.0,55.0,156,1
10:02:14.283 -> 148,113,27.0,55.0,166,1
10:02:19.300 -> 148,114,27.0,55.0,148,1
10:02:24.278 -> 148,113,27.0,55.0,143,1
10:02:29.302 -> 148,113,27.0,55.0,169,1
10:02:34.294 -> 148,114,26.0,55.0,163,1
10:02:39.302 -> 148,114,26.0,55.0,142,1
10:02:44.314 -> 148,114,26.0,55.0,155,1
10:02:49.322 -> 149,114,26.0,55.0,173,1
10:02:54.289 -> 149,114,26.0,55.0,146,1
10:02:59.320 -> 149,114,26.0,55.0,150,1
10:03:04.307 -> 150,114,26.0,55.0,162,1
10:03:09.334 -> 149,115,26.0,55.0,169,1
10:03:14.332 -> 150,115,26.0,55.0,160,1
10:03:19.313 -> 149,114,26.0,55.0,151,1
10:03:24.321 -> 150,115,26.0,55.0,144,1
10:03:29.323 -> 151,115,26.0,55.0,143,1
10:03:34.355 -> 151,116,26.0,55.0,151,1
10:03:39.330 -> 151,116,26.0,55.0,166,1
10:03:44.333 -> 151,116,26.0,55.0,173,1
10:03:49.346 -> 151,116,26.0,55.0,176,1
10:03:54.349 -> 152,117,26.0,55.0,170,1
10:03:59.354 -> 152,117,26.0,55.0,165,1
10:04:04.361 -> 152,116,26.0,55.0,164,1
10:04:09.369 -> 152,116,26.0,55.0,165,1
10:04:14.381 -> 152,117,26.0,55.0,162,1
10:04:19.389 -> 153,117,26.0,55.0,164,1
10:04:24.361 -> 152,116,26.0,55.0,167,1
10:04:29.389 -> 152,116,26.0,55.0,169,1
10:04:34.396 -> 153,117,26.0,55.0,175,1
10:04:39.389 -> 153,117,27.0,55.0,174,1
10:04:44.376 -> 153,117,27.0,55.0,176,1
10:04:49.385 -> 152,116,27.0,55.0,176,1
10:04:54.396 -> 152,117,27.0,55.0,174,1
10:04:59.404 -> 152,116,27.0,55.0,172,1
10:05:04.398 -> 152,116,27.0,55.0,167,1
10:05:09.400 -> 152,117,27.0,55.0,167,1
10:05:14.407 -> 152,116,27.0,55.0,166,1
10:05:19.409 -> 151,117,27.0,55.0,163,1
10:05:24.413 -> 151,117,27.0,55.0,163,1
10:05:29.416 -> 151,117,27.0,55.0,158,1
10:05:34.420 -> 151,117,27.0,55.0,159,1
10:05:39.424 -> 152,117,27.0,55.0,161,1
10:05:44.431 -> 152,117,27.0,55.0,162,1
10:05:49.436 -> 152,117,27.0,55.0,160,1
10:05:54.436 -> 152,117,27.0,55.0,158,1
10:05:59.443 -> 153,117,27.0,55.0,158,1
10:06:04.448 -> 155,118,27.0,55.0,161,1
10:06:09.419 -> 166,125,27.0,55.0,167,1
10:06:14.415 -> 157,117,27.0,55.0,165,1
10:06:19.459 -> 151,111,27.0,55.0,163,1
10:06:24.447 -> 144,108,27.0,55.0,160,1
10:06:29.460 -> 141,107,27.0,55.0,162,1
10:06:34.450 -> 139,107,27.0,55.0,163,1
10:06:39.439 -> 138,107,27.0,55.0,161,1
10:06:44.438 -> 139,106,27.0,55.0,160,1
10:06:49.442 -> 138,106,27.0,55.0,159,1
10:06:54.474 -> 138,106,27.0,55.0,150,1
10:06:59.459 -> 138,106,27.0,55.0,144,1
10:07:04.454 -> 137,106,27.0,55.0,142,1
10:07:09.450 -> 137,107,27.0,55.0,140,1
10:07:14.482 -> 137,106,27.0,55.0,149,1
10:07:19.474 -> 135,105,27.0,55.0,153,1
10:07:24.482 -> 136,106,27.0,55.0,159,1
10:07:29.487 -> 135,106,27.0,55.0,170,1
10:07:34.490 -> 136,106,27.0,55.0,166,1
10:07:39.490 -> 136,106,27.0,55.0,154,1
10:07:44.487 -> 136,106,27.0,55.0,147,1
10:07:49.490 -> 135,106,27.0,55.0,138,1
10:07:54.502 -> 135,106,27.0,55.0,137,1
10:07:59.498 -> 136,106,27.0,55.0,149,1
10:08:04.489 -> 136,106,27.0,55.0,160,1
10:08:09.493 -> 135,106,27.0,55.0,168,1
10:08:14.509 -> 135,107,27.0,55.0,170,1
10:08:19.506 -> 134,107,27.0,55.0,157,1
10:08:24.503 -> 135,107,27.0,55.0,143,1
10:08:29.509 -> 135,107,27.0,55.0,138,1
10:08:34.513 -> 135,106,27.0,55.0,139,1
10:08:39.505 -> 135,107,27.0,55.0,147,1
10:08:44.509 -> 134,107,27.0,55.0,159,1
10:08:49.529 -> 135,107,27.0,55.0,168,1
10:08:54.524 -> 135,106,27.0,55.0,167,1
10:08:59.545 -> 135,106,27.0,55.0,160,1
10:09:04.541 -> 135,107,27.0,55.0,155,1
10:09:09.532 -> 135,107,27.0,55.0,145,1
10:09:14.529 -> 135,107,27.0,55.0,142,1
10:09:19.556 -> 135,107,27.0,55.0,141,1
10:09:24.532 -> 135,107,27.0,55.0,142,1
10:09:29.529 -> 135,107,27.0,55.0,146,1
10:09:34.565 -> 135,107,27.0,55.0,143,1
10:09:39.550 -> 135,107,27.0,55.0,139,1
10:09:44.572 -> 134,107,27.0,55.0,137,1
10:09:49.561 -> 134,108,27.0,55.0,138,1
10:09:54.553 -> 135,108,27.0,55.0,138,1
10:09:59.584 -> 135,107,27.0,55.0,140,1
10:10:04.569 -> 135,108,27.0,55.0,147,1
10:10:09.556 -> 135,107,27.0,55.0,147,1
10:10:14.576 -> 135,108,27.0,55.0,151,1
10:10:19.574 -> 135,107,27.0,55.0,159,1
10:10:24.580 -> 134,107,27.0,55.0,152,1
10:10:29.587 -> 135,107,27.0,55.0,153,1
10:10:34.583 -> 135,107,27.0,55.0,159,1
10:10:39.600 -> 135,108,27.0,55.0,167,1
10:10:44.604 -> 135,108,27.0,55.0,168,1
10:10:49.617 -> 135,107,27.0,55.0,169,1
10:10:54.584 -> 135,108,27.0,55.0,170,1
10:10:59.592 -> 134,108,27.0,55.0,173,1
10:11:04.604 -> 134,108,27.0,55.0,162,1
10:11:09.612 -> 135,109,27.0,55.0,161,1
10:11:14.625 -> 135,108,27.0,55.0,161,1
10:11:19.631 -> 135,110,27.0,55.0,160,1
10:11:24.640 -> 136,109,27.0,55.0,160,1
10:11:29.611 -> 137,111,27.0,55.0,159,1
10:11:34.647 -> 136,110,27.0,55.0,151,1
10:11:39.620 -> 136,110,27.0,55.0,147,1
10:11:44.627 -> 136,109,27.0,55.0,147,1
10:11:49.631 -> 136,109,27.0,55.0,151,1
10:11:54.639 -> 136,109,27.0,55.0,158,1
10:11:59.651 -> 136,109,27.0,55.0,163,1
10:12:04.655 -> 135,109,27.0,55.0,159,1
10:12:09.663 -> 135,109,27.0,55.0,158,1
10:12:14.676 -> 135,109,27.0,55.0,153,1
10:12:19.679 -> 135,109,27.0,55.0,148,1
10:12:24.687 -> 135,109,27.0,55.0,147,1
10:12:29.655 -> 135,109,27.0,55.0,151,1
10:12:34.695 -> 134,109,27.0,55.0,156,1
10:12:39.699 -> 134,109,27.0,55.0,162,1
10:12:44.707 -> 135,109,27.0,55.0,144,1
10:12:49.676 -> 134,109,27.0,55.0,150,1
10:12:54.683 -> 135,110,27.0,55.0,160,1
10:12:59.691 -> 135,109,27.0,55.0,151,1
10:13:04.694 -> 135,109,27.0,55.0,141,1
10:13:09.706 -> 135,109,27.0,55.0,150,1
10:13:14.710 -> 135,109,27.0,55.0,158,1
10:13:19.718 -> 135,110,27.0,55.0,161,1
10:13:24.714 -> 135,110,27.0,55.0,154,1
10:13:29.710 -> 135,109,27.0,55.0,148,1
10:13:34.722 -> 135,110,27.0,55.0,147,1
10:13:39.730 -> 135,110,27.0,55.0,154,1
10:13:44.738 -> 135,110,27.0,55.0,161,1
10:13:49.741 -> 135,109,27.0,55.0,158,1
10:13:54.746 -> 135,110,27.0,55.0,145,1
10:13:59.750 -> 135,110,27.0,55.0,148,1
10:14:04.754 -> 135,109,27.0,55.0,159,1
10:14:09.766 -> 135,110,27.0,55.0,147,1
10:14:14.774 -> 135,110,27.0,55.0,147,1
10:14:19.742 -> 135,110,27.0,55.0,175,1
10:14:24.745 -> 136,110,27.0,55.0,160,1
10:14:29.757 -> 135,110,27.0,55.0,138,1
10:14:34.761 -> 135,110,27.0,55.0,150,1
10:14:39.765 -> 135,110,27.0,55.0,156,1
10:14:44.773 -> 135,110,27.0,55.0,158,1
10:14:49.777 -> 134,110,27.0,55.0,160,1
10:14:54.791 -> 135,110,27.0,55.0,154,1
10:14:59.785 -> 135,111,27.0,55.0,150,1
10:15:04.799 -> 136,111,27.0,55.0,146,1
10:15:09.785 -> 136,111,27.0,55.0,152,1
10:15:14.788 -> 136,111,27.0,55.0,160,1
10:15:19.793 -> 135,110,27.0,55.0,160,1
10:15:24.793 -> 134,110,27.0,55.0,157,1
10:15:29.797 -> 134,110,27.0,55.0,144,1
10:15:34.804 -> 134,110,27.0,55.0,132,1
10:15:39.817 -> 134,111,27.0,55.0,148,1
10:15:44.845 -> 135,110,27.0,55.0,162,1
10:15:49.828 -> 135,111,27.0,55.0,159,1
10:15:54.834 -> 136,110,27.0,55.0,157,1
10:15:59.828 -> 135,110,27.0,55.0,154,1
10:16:04.828 -> 135,110,27.0,55.0,151,1
10:16:09.832 -> 135,111,27.0,55.0,152,1
10:16:14.836 -> 136,111,27.0,55.0,151,1
10:16:19.844 -> 135,111,27.0,55.0,148,1
10:16:24.857 -> 136,111,27.0,55.0,148,1
10:16:29.864 -> 135,110,27.0,55.0,151,1
10:16:34.872 -> 135,111,27.0,55.0,153,1
10:16:39.884 -> 135,111,27.0,55.0,158,1
10:16:44.888 -> 135,112,27.0,55.0,161,1
10:16:49.884 -> 136,111,27.0,55.0,160,1
10:16:54.896 -> 135,111,27.0,55.0,156,1
10:16:59.903 -> 135,111,27.0,55.0,150,1
10:17:04.907 -> 135,111,27.0,55.0,148,1
10:17:09.912 -> 134,111,27.0,55.0,150,1
10:17:14.916 -> 135,111,27.0,55.0,155,1
10:17:19.882 -> 136,111,27.0,55.0,159,1
10:17:24.887 -> 135,110,27.0,55.0,161,1
10:17:29.899 -> 135,111,27.0,55.0,160,1
10:17:34.907 -> 135,112,27.0,55.0,157,1
10:17:39.919 -> 135,111,27.0,55.0,153,1
10:17:44.928 -> 135,111,27.0,55.0,150,1
10:17:49.941 -> 134,111,27.0,55.0,149,1
10:17:54.935 -> 134,111,27.0,55.0,149,1
10:17:59.935 -> 134,112,27.0,55.0,154,1
10:18:04.947 -> 134,111,27.0,55.0,160,1
10:18:09.955 -> 135,111,27.0,55.0,159,1
10:18:14.955 -> 136,111,27.0,55.0,150,1
10:18:19.966 -> 135,112,27.0,55.0,150,1
10:18:24.931 -> 135,111,27.0,55.0,155,1
10:18:29.942 -> 135,111,27.0,55.0,160,1
10:18:34.951 -> 135,112,27.0,55.0,155,1
10:18:39.955 -> 135,111,27.0,55.0,151,1
10:18:44.959 -> 135,111,27.0,55.0,151,1
10:18:49.971 -> 136,112,27.0,55.0,151,1
10:18:54.966 -> 135,111,27.0,55.0,155,1
10:18:59.979 -> 135,112,27.0,55.0,160,1
10:19:04.982 -> 135,112,27.0,55.0,161,1
10:19:09.990 -> 135,112,27.0,55.0,159,1
10:19:14.998 -> 135,112,27.0,55.0,158,1
10:19:20.010 -> 135,112,27.0,55.0,153,1
10:19:24.978 -> 135,112,27.0,55.0,149,1
10:19:29.982 -> 134,112,27.0,55.0,146,1
10:19:35.010 -> 135,112,27.0,55.0,149,1
10:19:40.022 -> 135,112,27.0,55.0,152,1
10:19:45.029 -> 134,112,27.0,55.0,154,1
10:19:50.022 -> 136,113,27.0,55.0,151,1
10:19:55.033 -> 135,113,27.0,55.0,153,1
10:20:00.041 -> 135,112,27.0,55.0,154,1
10:20:05.045 -> 135,111,27.0,55.0,162,1
10:20:10.018 -> 134,114,27.0,56.0,165,1
10:20:15.022 -> 135,113,27.0,56.0,166,1
10:20:20.029 -> 135,114,27.0,56.0,164,1
10:20:25.033 -> 135,113,27.0,56.0,160,1
10:20:30.037 -> 135,113,27.0,56.0,154,1
10:20:35.045 -> 135,114,27.0,56.0,156,1
10:20:40.041 -> 135,113,27.0,56.0,150,1
10:20:45.041 -> 135,113,27.0,55.0,147,1
10:20:50.069 -> 135,113,27.0,55.0,148,1
10:20:55.081 -> 136,113,27.0,55.0,147,1
10:21:00.073 -> 135,113,27.0,55.0,149,1
10:21:05.072 -> 135,114,27.0,55.0,149,1
10:21:10.069 -> 135,113,27.0,55.0,150,1
10:21:15.071 -> 135,113,27.0,55.0,154,1
10:21:20.088 -> 135,113,27.0,55.0,159,1
10:21:25.076 -> 135,114,27.0,55.0,160,1
10:21:30.084 -> 135,114,27.0,55.0,162,1
10:21:35.085 -> 135,113,27.0,55.0,165,1
10:21:40.106 -> 135,114,27.0,55.0,164,1
10:21:45.091 -> 135,113,27.0,55.0,160,1
10:21:50.092 -> 136,114,27.0,55.0,159,1
10:21:55.100 -> 136,114,27.0,55.0,157,1
10:22:00.103 -> 136,114,27.0,55.0,151,1
10:22:05.116 -> 136,114,27.0,55.0,149,1
10:22:10.109 -> 135,114,27.0,56.0,146,1
10:22:15.139 -> 136,114,27.0,56.0,145,1
10:22:20.115 -> 135,114,27.0,56.0,145,1
10:22:25.116 -> 135,114,27.0,56.0,147,1
10:22:30.141 -> 135,114,27.0,55.0,146,1
10:22:35.147 -> 135,114,27.0,55.0,151,1
10:22:40.147 -> 135,113,27.0,56.0,151,1
10:22:45.151 -> 135,114,27.0,56.0,152,1
10:22:50.147 -> 135,114,27.0,56.0,152,1
10:22:55.147 -> 135,114,27.0,56.0,155,1
10:23:00.161 -> 135,113,27.0,56.0,158,1
10:23:05.172 -> 135,114,27.0,56.0,164,1
10:23:10.155 -> 135,114,27.0,55.0,169,1
10:23:15.189 -> 135,114,27.0,56.0,169,1
10:23:20.183 -> 135,114,27.0,56.0,160,1
10:23:25.170 -> 135,114,27.0,55.0,154,1
10:23:30.188 -> 136,114,27.0,55.0,147,1
10:23:35.186 -> 135,114,27.0,55.0,144,1
10:23:40.190 -> 135,114,27.0,55.0,148,1
10:23:45.190 -> 135,114,27.0,55.0,153,1
10:23:50.186 -> 135,113,27.0,55.0,167,1
10:23:55.219 -> 135,114,27.0,55.0,167,1
10:24:00.222 -> 135,114,27.0,55.0,151,1
10:24:05.211 -> 135,114,27.0,55.0,144,1
10:24:10.212 -> 135,114,27.0,55.0,151,1
10:24:15.202 -> 135,114,27.0,55.0,164,1
10:24:20.237 -> 135,114,27.0,55.0,166,1
10:24:25.222 -> 134,114,27.0,55.0,152,1
10:24:30.246 -> 134,114,27.0,55.0,145,1
10:24:35.229 -> 134,114,27.0,55.0,151,1
10:24:40.254 -> 134,114,27.0,55.0,169,1
10:24:45.243 -> 135,114,27.0,55.0,158,1
10:24:50.252 -> 135,114,27.0,55.0,144,1
10:24:55.246 -> 134,115,27.0,55.0,152,1
10:25:00.255 -> 134,114,27.0,55.0,167,1
10:25:05.274 -> 135,114,27.0,55.0,164,1
10:25:10.257 -> 135,115,27.0,55.0,148,1
10:25:15.270 -> 134,114,27.0,55.0,144,1
10:25:20.257 -> 134,114,27.0,55.0,157,1
10:25:25.285 -> 134,114,27.0,55.0,170,1
10:25:30.290 -> 134,114,27.0,55.0,156,1
10:25:35.297 -> 134,115,27.0,55.0,143,1
10:25:40.297 -> 134,114,27.0,55.0,150,1
10:25:45.298 -> 134,114,27.0,55.0,164,1
10:25:50.297 -> 134,115,27.0,55.0,170,1
10:25:55.282 -> 127,108,27.0,55.0,171,1
10:26:00.304 -> 133,115,28.0,55.0,138,1
10:26:05.292 -> 135,116,28.0,55.0,128,1
10:26:10.309 -> 136,117,28.0,55.0,157,1
10:26:15.328 -> 137,118,28.0,55.0,191,1
10:26:20.316 -> 139,118,28.0,55.0,170,1
10:26:25.332 -> 140,119,28.0,55.0,151,1
10:26:30.324 -> 140,119,28.0,55.0,152,1
10:26:35.336 -> 141,120,28.0,55.0,165,1
10:26:40.328 -> 143,121,28.0,55.0,164,1
10:26:45.345 -> 143,120,28.0,55.0,153,1
10:26:50.328 -> 142,119,28.0,55.0,144,1
10:26:55.324 -> 142,119,28.0,55.0,162,1
10:27:00.356 -> 141,119,28.0,55.0,176,1
10:27:05.356 -> 141,118,28.0,55.0,150,1
10:27:10.339 -> 141,118,28.0,55.0,142,1
10:27:15.333 -> 140,118,28.0,55.0,152,1
10:27:20.367 -> 140,118,28.0,55.0,170,1
10:27:25.364 -> 140,118,28.0,55.0,171,1
